ni,text,sentiment,Time of Tweet,Age of User,Country,Population -2020,Land Area (Km²),Density (P/Km²),cleaned_text,subjectivity,mapped_time
9fce30159a, Miss you,Neutral,noon,65.0,Belgium,11589623.0,30280.0,383.0,Miss you,0.0,12 PM
00d5195223,Cramps . . .,Neutral,night,85.0,Belize,397628.0,22810.0,17.0,Cramps,0.0,06-09 PM
33f19050cf, you guys didn`t say hi or answer my questions yesterday  but nice songs.,Positive,morning,10.0,Benin,12123200.0,112760.0,108.0,you guys didnt say hi or answer my questions yesterday  but nice songs,1.0,06-11 AM
f7718b3c23,"I`m going into a spiritual stagnentation, its exploding my ego!. I now realise, i`m not all that great. and I`m ok with that.",Positive,noon,25.5,Bhutan,771608.0,38100.0,20.0,Im going into a spiritual stagnentation its exploding my ego I now realise im not all that great and Im ok with that,0.4611111111111111,12 PM
,,Neutral,,,,,,,,0.0,Unknown
be634ebeb0,My dead grandpa pays more attention to me than you do,Positive,morning,53.0,Bosnia and Herzegovina,3280819.0,51000.0,64.0,My dead grandpa pays more attention to me than you do,0.45,06-11 AM
,,Neutral,,,,,,,,0.0,Unknown
f0ef04109b,about to go to sleep,Neutral,night,85.0,Brazil,212559417.0,8358140.0,25.0,about to go to sleep,0.0,06-09 PM
8be365118e, you are lame  go make me breakfast!!,Negative,morning,10.0,Brunei,437479.0,5270.0,83.0,you are lame  go make me breakfast,0.75,06-11 AM
c50bdd4567, thats so cool,Positive,noon,25.5,Bulgaria,6948445.0,108560.0,64.0,thats so cool,0.65,12 PM
334954f215,"hey peoples, dont you just hate being grounded haha, im just sat eating an apple and watching death note (some anime)",Negative,night,38.0,Burkina Faso,20903273.0,273600.0,76.0,hey peoples dont you just hate being grounded haha im just sat eating an apple and watching death note some anime,0.6,06-09 PM
b783916431,"Huh, another ScarePoint coding Sunday",Neutral,morning,53.0,Burundi,11890784.0,25680.0,463.0,Huh another ScarePoint coding Sunday,0.0,06-11 AM
,,Neutral,,,,,,,,0.0,Unknown
be38b29042,"No AC, the fan doesnt swing our way ... we are sweating it out on a hot humid day",Positive,night,85.0,Cabo Verde,555987.0,4030.0,138.0,No AC the fan doesnt swing our way  we are sweating it out on a hot humid day,0.8500000000000001,06-09 PM
95701e8ed9, guess that depends on if you want to be on the jury,Neutral,morning,10.0,Cambodia,16718965.0,176520.0,95.0,guess that depends on if you want to be on the jury,0.0,06-11 AM
4dd58ecd2c,resorted to eating Mickey Ds ALONE.,Neutral,noon,25.5,Cameroon,26545863.0,472710.0,56.0,resorted to eating Mickey Ds ALONE,0.0,12 PM
cf553cccd5,"There is a faux gothy chick looking at me, sorry I am not going to camden and I like pop-punk and jimmy eat world",Negative,night,38.0,Canada,37742154.0,9093510.0,4.0,There is a faux gothy chick looking at me sorry I am not going to camden and I like poppunk and jimmy eat world,1.0,06-09 PM
55c69c2d52, did he ask for your Twitter ID? Your sun sign?,Neutral,morning,53.0,Central African Republic,4829767.0,622980.0,8.0,did he ask for your Twitter ID Your sun sign,0.0,06-11 AM
9b1a52cc02, where`d you go!,Neutral,noon,65.0,Chad,16425864.0,1259200.0,13.0,whered you go,0.0,12 PM
cce5c4744a,Watching Body of Lies...good film,Neutral,night,85.0,Chile,19116201.0,743532.0,26.0,Watching Body of Liesgood film,0.0,06-09 PM
c7f9d559e2,Happy mothers day mumm  xoxo,Positive,morning,10.0,China,1439323776.0,9388211.0,153.0,Happy mothers day mumm  xoxo,1.0,06-11 AM
3d2478db59,So I really need to put the laptop down & start getting ready for  shindig...But I`ve missed my TwitterLoves all day,Positive,noon,25.5,Colombia,50882891.0,1109500.0,46.0,So I really need to put the laptop down  start getting ready for  shindigBut Ive missed my TwitterLoves all day,0.32962962962962966,12 PM
6d846d7d50, I`m sorry  at least it`s Friday?,Negative,night,38.0,Comoros,869601.0,1861.0,467.0,Im sorry  at least its Friday,0.7,06-09 PM
599f51af6b,"feels sorry every time I`m printing out, I use like 200 new papers",Negative,morning,53.0,Congo (Congo-Brazzaville),5518087.0,342000.0,16.0,feels sorry every time Im printing out I use like 200 new papers,0.7272727272727273,06-11 AM
87daa62920, 4n? ma rog  never heard of it  esti beat acum? u tweet too much,Positive,noon,65.0,Costa Rica,5094118.0,51060.0,100.0,4n ma rog  never heard of it  esti beat acum u tweet too much,0.2,12 PM
6506dc55ff, I always forget SOMETHING when I travel. I am at Newark airport.,Neutral,night,85.0,Croatia,4105267.0,55960.0,73.0,I always forget SOMETHING when I travel I am at Newark airport,0.0,06-09 PM
746d87f93e,Should have left car and walked home! I might need someone to rescue me with petrol! Light flashing,Positive,morning,10.0,Cuba,11326616.0,106440.0,106.0,Should have left car and walked home I might need someone to rescue me with petrol Light flashing,0.35,06-11 AM
ef7ef8e474,i`m only updating this so that brett`s phone beeps  but really.. looking at wedding stuff. again.for the next five months.,Positive,noon,25.5,Cyprus,1207359.0,9240.0,131.0,im only updating this so that bretts phone beeps  but really looking at wedding stuff againfor the next five months,0.39999999999999997,12 PM
d3d7b13278," Hi there.  I agree!  Small children should be running about happy, not breaking down in tears",Positive,night,38.0,Czechia (Czech Republic),10708981.0,77240.0,139.0,Hi there  I agree  Small children should be running about happy not breaking down in tears,0.562962962962963,06-09 PM
ddc07db84e,  Hope ur havin fun in da club,Positive,morning,53.0,Democratic Republic of the Congo,89561403.0,2267050.0,40.0,Hope ur havin fun in da club,0.2,06-11 AM
67afe60d31,i miss my old phone it worked so good until i dropped it  i want a new one for my birthday...,Positive,noon,65.0,Denmark,5792202.0,42430.0,137.0,i miss my old phone it worked so good until i dropped it  i want a new one for my birthday,0.4181818181818182,12 PM
17d18ba9ef,thinks SG is wonderful,Positive,night,85.0,Djibouti,988000.0,23180.0,43.0,thinks SG is wonderful,1.0,06-09 PM
ab57d75f20,  im really sorry i know wallah how u feel this life is shittttttttt,Negative,morning,10.0,Dominica,71986.0,750.0,96.0,im really sorry i know wallah how u feel this life is shittttttttt,1.0,06-11 AM
f0acd25d8e,Not happy,Negative,noon,25.5,Dominican Republic,10847910.0,48300.0,225.0,Not happy,1.0,12 PM
cf3b068b03,Is watching acoustic performances! & In the mood for a good 'FRIENDS' episode! I miss that show,Positive,night,38.0,Ecuador,17643054.0,248360.0,71.0,Is watching acoustic performances  In the mood for a good FRIENDS episode I miss that show,0.6000000000000001,06-09 PM
d6c34fa875, I`ll oscillate from one to the other.,Negative,morning,53.0,Egypt,102334404.0,995450.0,103.0,Ill oscillate from one to the other,0.6875,06-11 AM
614aed9113,I`m so very tired...and have insomnia.,Positive,noon,65.0,El Salvador,6486205.0,20720.0,313.0,Im so very tiredand have insomnia,0.3,12 PM
dfa577d3c1, Thanks Ennio,Positive,night,85.0,Equatorial Guinea,1402985.0,28050.0,50.0,Thanks Ennio,0.2,06-09 PM
10dcbe4dfb, you should totally come get me and bring me to kelslaws house with you.,Neutral,morning,10.0,Eritrea,3546421.0,101000.0,35.0,you should totally come get me and bring me to kelslaws house with you,0.75,06-11 AM
a0bfb12773," You seem nice, you`re generous and you know your stuff",Positive,noon,25.5,Estonia,1326535.0,42390.0,31.0,You seem nice youre generous and you know your stuff,1.0,12 PM
71f4a9b495, U so dirrrrrty... Why oh why did I pick the Hawks  I figured I needed a longshot and they were a better bet than CAR,Positive,night,38.0,"Eswatini (fmr. ""Swaziland"")",1160164.0,17200.0,67.0,U so dirrrrrty Why oh why did I pick the Hawks  I figured I needed a longshot and they were a better bet than CAR,0.5,06-09 PM
d33ed264b3,almost got a kitty yesterday...but it didn`t work out,Neutral,morning,53.0,Ethiopia,114963588.0,1000000.0,115.0,almost got a kitty yesterdaybut it didnt work out,0.0,06-11 AM
77f88ea9e2,"reality needs to check in. schools over. time to party  not tonight tho, im going to bed. night, night.",Neutral,noon,65.0,Fiji,896445.0,18270.0,49.0,reality needs to check in schools over time to party  not tonight tho im going to bed night night,0.0,12 PM
fe1deac869,   Caladesi was definitely a nice peaceful way to spend a Sunday! I got a lil tan!,Positive,night,85.0,Finland,5540720.0,304000.0,18.0,Caladesi was definitely a nice peaceful way to spend a Sunday I got a lil tan,0.75,06-09 PM
e591a725ef, i still dont know what we would do though,Neutral,morning,10.0,France,65273511.0,547557.0,119.0,i still dont know what we would do though,0.0,06-11 AM
2dbb28cc29,"_xo   dang it, so its not certain ? ? ? are you okay?",Positive,noon,25.5,Gabon,2225734.0,257670.0,9.0,_xo   dang it so its not certain    are you okay,0.5357142857142857,12 PM
a7e4ad250a,Change of plans. I am staying in Brandon.  No Papaya Salad for me.,Neutral,night,38.0,Gambia,2416668.0,10120.0,239.0,Change of plans I am staying in Brandon  No Papaya Salad for me,0.0,06-09 PM
7d87899024,"Dear rain, you suck. Now I gotta change my plans for tonight",Neutral,morning,53.0,Georgia,3989167.0,69490.0,57.0,Dear rain you suck Now I gotta change my plans for tonight,0.0,06-11 AM
461b51fa58,at starbucks with my love. eff school. i have work later too.,Positive,noon,65.0,Germany,83783942.0,348560.0,240.0,at starbucks with my love eff school i have work later too,0.3,12 PM
c31d79c440,I just cried whilst watching hollyoaks  .. i need a life! lol,Positive,night,85.0,Ghana,31072940.0,227540.0,137.0,I just cried whilst watching hollyoaks   i need a life lol,0.7,06-09 PM
32ee7ef6c2,"Hi all, just recovering from a party, looking forward to an exciting bank holiday around the diy shops...life cant get much better.surely",Positive,morning,10.0,Greece,10423054.0,128900.0,81.0,Hi all just recovering from a party looking forward to an exciting bank holiday around the diy shopslife cant get much bettersurely,0.5,06-11 AM
29f805a7d2,Terminator Salvation... by myself.,Neutral,noon,25.5,Grenada,112523.0,340.0,331.0,Terminator Salvation by myself,0.0,12 PM
d41fe360e4," for...the...loss. dumbface  ...him, not u. what u up to on the wknd? i wanna seeeeeee ya!",Neutral,night,38.0,Guatemala,17915568.0,107160.0,167.0,fortheloss dumbface  him not u what u up to on the wknd i wanna seeeeeee ya,0.0,06-09 PM
a04c8c8695, Why do I have to enter my registration details every time I update?,Neutral,morning,53.0,Guinea,13132795.0,246000.0,53.0,Why do I have to enter my registration details every time I update,0.0,06-11 AM
25e42b2bf2,"On the monday, so i wont be able to be with you!  i love you",Positive,noon,65.0,Guinea-Bissau,1968001.0,28120.0,70.0,On the monday so i wont be able to be with you  i love you,0.6125,12 PM
5843d17b1d," Ur so cute..I`m a fan of Dream A Little Dream, This Kiss and appearances like in Dawson`s Creek  Make more flicks!",Positive,night,85.0,Guyana,786552.0,196850.0,4.0,Ur so cuteIm a fan of Dream A Little Dream This Kiss and appearances like in Dawsons Creek  Make more flicks,0.5,06-09 PM
474d10ff48, TGIF is right...I think I broke my toe last night - on my bad foot.,Negative,morning,10.0,Haiti,11402528.0,27560.0,414.0,TGIF is rightI think I broke my toe last night  on my bad foot,0.36666666666666664,06-11 AM
38e69da3a1," Oherr it`s soon then, do you have plans? I had a party on saturday  x",Neutral,noon,25.5,Holy See,801.0,0.0,2003.0,Oherr its soon then do you have plans I had a party on saturday  x,0.0,12 PM
972dc5787d,_LaMont yr very young looking dude,Positive,night,38.0,Honduras,9904607.0,111890.0,89.0,_LaMont yr very young looking dude,0.52,06-09 PM
0ba6aaf9aa,": hmmm, wrong link, ignore my tweet",Negative,morning,53.0,Hungary,9660351.0,90530.0,107.0,hmmm wrong link ignore my tweet,0.9,06-11 AM
7a81537034,AT&T cheated the system and now I have no Green Day tickets  **** you AT&T!,Positive,noon,65.0,Iceland,341243.0,100250.0,3.0,ATT cheated the system and now I have no Green Day tickets   you ATT,0.3,12 PM
311d2b185b,Tracy and Berwick breaks my achy breaky heart  They split ways in the hallways.,Neutral,night,85.0,India,1380004385.0,2973190.0,464.0,Tracy and Berwick breaks my achy breaky heart  They split ways in the hallways,0.0,06-09 PM
1e46d72ec6," yep, i wish they were all playing dubiln",Neutral,morning,10.0,Indonesia,273523615.0,1811570.0,151.0,yep i wish they were all playing dubiln,0.0,06-11 AM
390f169584, im a lady and ladies don`t move couches. they direct where the couches go,Positive,noon,25.5,Iran,83992949.0,1630000.0,52.0,im a lady and ladies dont move couches they direct where the couches go,0.4,12 PM
58129e4130, Yay for Block Party!  You`re the BOMB! Blockheads <3 Dave!   Thanks for supporting NKOTB!,Positive,night,38.0,Iraq,40222493.0,434320.0,93.0,Yay for Block Party  Youre the BOMB Blockheads 3 Dave   Thanks for supporting NKOTB,0.225,06-09 PM
e6c9e5e3ab, 26th February,Neutral,morning,53.0,Ireland,4937786.0,68890.0,72.0,26th February,0.0,06-11 AM
cb5e709de8,Guess what? mom adopted a kitty today (11 months) His name is Corky,Neutral,noon,65.0,Israel,8655535.0,21640.0,400.0,Guess what mom adopted a kitty today 11 months His name is Corky,0.0,12 PM
a14b4ff440,Happy Birthday Snickers!!!! ? I hope you have the best day ever! Let`s go shopping!!!,Positive,night,85.0,Italy,60461826.0,294140.0,206.0,Happy Birthday Snickers  I hope you have the best day ever Lets go shopping,0.65,06-09 PM
5d57a5eda2, Thank you!  I`m working on `s,Neutral,morning,10.0,Jamaica,2961167.0,10830.0,273.0,Thank you  Im working on s,0.0,06-11 AM
1e3561e921, lol man i got 2 1 /2 hrs an iont how i woulda made it wit out my ramen noodles and t.v. Time,Positive,noon,25.5,Japan,126476461.0,364555.0,347.0,lol man i got 2 1 2 hrs an iont how i woulda made it wit out my ramen noodles and tv Time,0.7,12 PM
c2ea5cb58b,Not feeling all that well today,Neutral,night,38.0,Jordan,10203134.0,88780.0,115.0,Not feeling all that well today,0.0,06-09 PM
cde0016d6d,"http://twitpic.com/4wp8s - My ear hurts, and THIS is my medicine. GUM",Neutral,morning,53.0,Kazakhstan,18776707.0,2699700.0,7.0,My ear hurts and THIS is my medicine GUM,0.0,06-11 AM
5fc411e8d1,_berland LMAO I know I know,Positive,noon,65.0,Kenya,53771296.0,569140.0,94.0,_berland LMAO I know I know,1.0,12 PM
5ffb19ae8f,Gnight shar   <(` `<)Vega(>` `)>,Neutral,night,85.0,Kiribati,119449.0,810.0,147.0,Gnight shar    Vega,0.0,06-09 PM
76da985a47,The underwire in my bra is sticking out and poking me in the armpit,Neutral,morning,10.0,Kuwait,4270571.0,17820.0,240.0,The underwire in my bra is sticking out and poking me in the armpit,0.0,06-11 AM
3a98aa4762,Happy Mothers Day!!!,Positive,noon,25.5,Kyrgyzstan,6524195.0,191800.0,34.0,Happy Mothers Day,1.0,12 PM
886545bbab,"Yes, I am",Neutral,night,38.0,Laos,7275560.0,230800.0,32.0,Yes I am,0.0,06-09 PM
2afe118dc3, I can`t call Mitch!  Im from sweden!,Neutral,morning,53.0,Latvia,1886198.0,62200.0,30.0,I cant call Mitch  Im from sweden,0.0,06-11 AM
704c53f4cf,Happy star wars day! May the fourth be with you,Positive,noon,65.0,Lebanon,6825445.0,10230.0,667.0,Happy star wars day May the fourth be with you,0.5,12 PM
71fa60d9ff,was so excited to eat the wartermelon i bought the other day and it was terrible and not sweet,Negative,night,85.0,Lesotho,2142249.0,30360.0,71.0,was so excited to eat the wartermelon i bought the other day and it was terrible and not sweet,0.69375,06-09 PM
c238c4dbb7,i just watched Marley & Me...i cried so hard!,Negative,morning,10.0,Liberia,5057681.0,96320.0,53.0,i just watched Marley  Mei cried so hard,0.5416666666666666,06-11 AM
dc73e85417,Take antibacterial to school to clean your hands when you cant go the loos,Positive,noon,25.5,Libya,6871292.0,1759540.0,4.0,Take antibacterial to school to clean your hands when you cant go the loos,0.7000000000000001,12 PM
af63915fa9,I`m leaving work now. Trying to decide if I return on Sunday afternoon or Monday 4 am to meet a noon (UK time) deadline.,Neutral,night,38.0,Liechtenstein,38128.0,160.0,238.0,Im leaving work now Trying to decide if I return on Sunday afternoon or Monday 4 am to meet a noon UK time deadline,0.0,06-09 PM
eb2fc4d281, haaaw..well i get out of class at 10:50..i hope i make it,Neutral,morning,53.0,Lithuania,2722289.0,62700.0,43.0,haaawwell i get out of class at 1050i hope i make it,0.0,06-11 AM
f9382a1f7b,"oooh, sunshine! A patch of sunshine! And it will be gone by the time I leave work and replaced with rain.  /vent",Neutral,noon,65.0,Luxembourg,625978.0,2590.0,242.0,oooh sunshine A patch of sunshine And it will be gone by the time I leave work and replaced with rain  vent,0.0,12 PM
54670ca807,skype call with billie but my webcam dont work,Neutral,night,85.0,Madagascar,27691018.0,581795.0,48.0,skype call with billie but my webcam dont work,0.0,06-09 PM
3ab338c459,"Just had a great study time followed by a delicious Japanese meal with Arty! Now, trying to get back into the study mood",Positive,morning,10.0,Malawi,19129952.0,94280.0,203.0,Just had a great study time followed by a delicious Japanese meal with Arty Now trying to get back into the study mood,0.4375,06-11 AM
c7c7f7f025,FML not having a car is prohibiting finding a job,Neutral,noon,25.5,Malaysia,32365999.0,328550.0,99.0,FML not having a car is prohibiting finding a job,0.0,12 PM
1256e6a4d2,"  lol since I got twitter a little while ago, it seems like loads of people setting up an account",Positive,night,38.0,Maldives,540544.0,300.0,1802.0,lol since I got twitter a little while ago it seems like loads of people setting up an account,0.6,06-09 PM
990cdeae87, I want to see David cook!!,Neutral,morning,53.0,Mali,20250833.0,1220190.0,17.0,I want to see David cook,0.0,06-11 AM
9a55d83c79, yeh me 2,Neutral,noon,65.0,Malta,441543.0,320.0,1380.0,yeh me 2,0.0,12 PM
c8307a482d, learning tat the scenic way  din plan to go town but somehow was herded there?,Neutral,night,85.0,Marshall Islands,59190.0,180.0,329.0,learning tat the scenic way  din plan to go town but somehow was herded there,0.0,06-09 PM
0a21b662a4," i don`t want to do anything specific, i just want to see you and puppy!",Neutral,morning,10.0,Mauritania,4649658.0,1030700.0,5.0,i dont want to do anything specific i just want to see you and puppy,0.125,06-11 AM
297f7d9e0f, yeah i need his fricken cell number ive tried his home for months and hes too busy. i miss braddddddddd,Positive,noon,25.5,Mauritius,1271768.0,2030.0,626.0,yeah i need his fricken cell number ive tried his home for months and hes too busy i miss braddddddddd,0.3,12 PM
68901906a4,Toy Story 3 trailer premiered with Up. I need my computer back.,Neutral,night,38.0,Mexico,128932753.0,1943950.0,66.0,Toy Story 3 trailer premiered with Up I need my computer back,0.0,06-09 PM
3112944847,ughh on the phone with HP!,Neutral,morning,53.0,Micronesia,115023.0,700.0,164.0,ughh on the phone with HP,0.0,06-11 AM
8f8334ffa2,And- hand made by Dan & Jenn -sock blockers ... made from exotic woods ... one of which is called 'purple heart',Positive,noon,65.0,Moldova,4033963.0,32850.0,123.0,And hand made by Dan  Jenn sock blockers  made from exotic woods  one of which is called purple heart,1.0,12 PM
322546026e, yay about breaking 200!,Neutral,night,85.0,Monaco,39242.0,1.0,26337.0,yay about breaking 200,0.0,06-09 PM
e6c154f9be, bahah sadly I am not,Positive,morning,10.0,Mongolia,3278290.0,1553560.0,2.0,bahah sadly I am not,1.0,06-11 AM
e96d849b35, i always have those for my Champions League parties  Tis awesome,Positive,noon,25.5,Montenegro,628066.0,13450.0,47.0,i always have those for my Champions League parties  Tis awesome,1.0,12 PM
124e30d941," well, not all. just stay away from those kinds and surround yourself with those who don`t. happy mother`s day to ur mom, treiz!",Positive,night,38.0,Morocco,36910560.0,446300.0,83.0,well not all just stay away from those kinds and surround yourself with those who dont happy mothers day to ur mom treiz,1.0,06-09 PM
fbb5742bbb,_Adel they didn`t reply yet.. wait till they confirm.. in case somebody might have translated it already..,Neutral,morning,53.0,Mozambique,31255435.0,786380.0,40.0,_Adel they didnt reply yet wait till they confirm in case somebody might have translated it already,0.0,06-11 AM
e90acf3c42, thats rough. hubby had knee surgery but it did help him in the end. Let us know the results. We`ll keep him in our prayers,Negative,noon,65.0,Myanmar (formerly Burma),54409800.0,653290.0,83.0,thats rough hubby had knee surgery but it did help him in the end Let us know the results Well keep him in our prayers,0.4,12 PM
0b0944285d,might have to go back much earlier than expected. bye bye bay area,Negative,night,85.0,Namibia,2540905.0,823000.0,3.0,might have to go back much earlier than expected bye bye bay area,0.3,06-09 PM
a11da2d3bf,"Playin City of Villains, wishin my buddies were playin with me.....",Neutral,morning,10.0,Nauru,10824.0,20.0,541.0,Playin City of Villains wishin my buddies were playin with me,0.0,06-11 AM
161bfc7c8a," yep - three things: a good haircut, the ability to listen and the value of not taking yourself too seriously",Positive,noon,25.5,Nepal,29136808.0,143350.0,203.0,yep  three things a good haircut the ability to listen and the value of not taking yourself too seriously,0.6333333333333333,12 PM
4a65010643, riley hacked my twitter!  hahaha :],Positive,night,38.0,Netherlands,17134872.0,33720.0,508.0,riley hacked my twitter  hahaha,0.4,06-09 PM
1b460c82f0,Big Sad Face   Bing doesn`t work on iPhone.  It just takes you to the regular mobile Live search.,Negative,morning,53.0,New Zealand,4822233.0,263310.0,18.0,Big Sad Face   Bing doesnt work on iPhone  It just takes you to the regular mobile Live search,0.41923076923076924,06-11 AM
43e91a5488, I liked it.  Did you record it yourself?  If so you have a very soothing voice.,Positive,noon,65.0,Nicaragua,6624554.0,120340.0,55.0,I liked it  Did you record it yourself  If so you have a very soothing voice,0.55,12 PM
410dd99aa3,man im so sad school is ending  but then again high school might be better :O,Positive,night,85.0,Niger,24206644.0,1266700.0,19.0,man im so sad school is ending  but then again high school might be better O,0.68,06-09 PM
b3eadfc565," Folks thought it was hilarious when I told them the story, and then they saw the shirt I wore tonight.  Laughter all night.",Positive,morning,10.0,Nigeria,206139589.0,910770.0,226.0,Folks thought it was hilarious when I told them the story and then they saw the shirt I wore tonight  Laughter all night,1.0,06-11 AM
480894125b, you`re the absoute best,Positive,noon,25.5,North Korea,25778816.0,120410.0,214.0,youre the absoute best,0.3,12 PM
001617fca4,oh my god!!! i cried so much!!! watch this guys from BGT  http://bit.ly/5t5Xz,Positive,night,38.0,North Macedonia,2083374.0,25220.0,83.0,oh my god i cried so much watch this guys from BGT,0.2,06-09 PM
52f2f23473,My near daily exercise is starting to show results.,Positive,morning,53.0,Norway,5421241.0,365000.0,15.0,My near daily exercise is starting to show results,0.16666666666666666,06-11 AM
e7e27b0c91, Welcome!,Positive,noon,65.0,Oman,5106626.0,309500.0,16.0,Welcome,0.9,12 PM
834dc73c0c,Bout to hit pmark then make one of my final meals wit the housemates..,Neutral,night,85.0,Pakistan,220892340.0,770880.0,287.0,Bout to hit pmark then make one of my final meals wit the housemates,1.0,06-09 PM
aeb0e9d730,: you get to go home and i have to go to work,Neutral,morning,10.0,Palau,18094.0,460.0,39.0,you get to go home and i have to go to work,0.0,06-11 AM
c672c9da1d,voted for  on CMT.com,Neutral,noon,25.5,Palestine State,5101414.0,6020.0,847.0,voted for  on CMTcom,0.0,12 PM
cbee1946d3,"just got home from a nice party, just not tired yet",Positive,night,38.0,Panama,4314767.0,74340.0,58.0,just got home from a nice party just not tired yet,0.85,06-09 PM
b1999f0951,Now I have a sunburn,Neutral,morning,53.0,Papua New Guinea,8947024.0,452860.0,20.0,Now I have a sunburn,0.0,06-11 AM
25510fbf89,I have the Job  this is a nice day it can not be better,Positive,noon,65.0,Paraguay,7132538.0,397300.0,18.0,I have the Job  this is a nice day it can not be better,0.75,12 PM
bcb9426abb,I wish I could go to #BEA this weekend.,Neutral,night,85.0,Peru,32971854.0,1280000.0,26.0,I wish I could go to BEA this weekend,0.0,06-09 PM
0d29624200,"I <3 Rupert Grint......& of the boy, Ive accepted tht I do fancy him  But im certain he doesnt feel the same so its not worth telling him",Positive,morning,10.0,Philippines,109581078.0,298170.0,368.0,I 3 Rupert Grint of the boy Ive accepted tht I do fancy him  But im certain he doesnt feel the same so its not worth telling him,0.2654761904761905,06-11 AM
3f0f5891ab, love your books,Positive,noon,25.5,Poland,37846611.0,306000.0,124.0,love your books,0.6,12 PM
0b34e66ea3,ok so this eye doctor guy is taking forever and i`m sitting in a cold room by myself...what? A jerk!,Negative,night,38.0,Portugal,10196709.0,91590.0,111.0,ok so this eye doctor guy is taking forever and im sitting in a cold room by myselfwhat A jerk,0.75,06-09 PM
11de8c0456,Im Slowing on My Tweets..Cuase I Lost My Phone,Neutral,morning,53.0,Qatar,2881053.0,11610.0,248.0,Im Slowing on My TweetsCuase I Lost My Phone,0.0,06-11 AM
d5712716e9, well thank your phone for me.,Neutral,noon,65.0,Romania,19237691.0,230170.0,84.0,well thank your phone for me,0.0,12 PM
3f90f95beb, why would they take a photo with stuffed animals?! that`s pretty funny,Positive,night,85.0,Russia,145934462.0,16376870.0,9.0,why would they take a photo with stuffed animals thats pretty funny,1.0,06-09 PM
c108e09b19,TweetDeck is acting really strange! Hum........ reinstall maybe. Update on the horizon? Or is it just another Adobe memory leak,Negative,morning,10.0,Rwanda,12952218.0,24670.0,525.0,TweetDeck is acting really strange Hum reinstall maybe Update on the horizon Or is it just another Adobe memory leak,0.075,06-11 AM
7223fdccc2,tikcets are only Ã¯Â¿Â½91...each...BUT I SO WANT TO GO,Neutral,noon,25.5,Saint Kitts and Nevis,53199.0,260.0,205.0,tikcets are only ÃÂÂ½91eachBUT I SO WANT TO GO,1.0,12 PM
f254748cdb, Happy Mothers Day,Positive,night,38.0,Saint Lucia,183627.0,610.0,301.0,Happy Mothers Day,1.0,06-09 PM
